GEO_ID,Area Name,Total 18-24,18-24 TOTAL Bachelors+ education,18-24 Male Education,18-24 Male less than HS,18-24 Male HS grad,18-24 some college/ass degree,18-24 male Bachelors+,18-24 total female,18-24 female less than HS,18-24 Female HS grad,18-24 female some college/ass degree,18-24 female bachelors+
26141,"Presque Isle County, Michigan",710,47,364,73,144,127,20,346,55,95,169,27
26143,"Roscommon County, Michigan",1257,99,683,219,224,230,10,574,109,168,208,89
26145,"Saginaw County, Michigan",18121,993,9137,1385,3325,4011,416,8984,1090,2532,4785,577
26147,"St. Clair County, Michigan",12691,688,6762,1411,2782,2257,312,5929,793,2044,2716,376
26149,"St. Joseph County, Michigan",4973,173,2679,807,1027,787,58,2294,587,670,922,115
26151,"Sanilac County, Michigan",3008,133,1570,372,758,370,70,1438,285,612,478,63
26153,"Schoolcraft County, Michigan",465,23,259,83,114,43,19,206,26,120,56,4
26155,"Shiawassee County, Michigan",5616,226,2890,339,1173,1244,134,2726,234,1308,1092,92
26157,"Tuscola County, Michigan",3905,217,2026,436,987,516,87,1879,252,714,783,130
26159,"Van Buren County, Michigan",5888,233,3107,642,1260,1120,85,2781,332,1073,1228,148
26161,"Washtenaw County, Michigan",68331,14532,34475,2127,6933,18862,6553,33856,1514,5476,18887,7979
26163,"Wayne County, Michigan",153030,15143,76664,13798,27387,28735,6744,76366,10177,25777,32013,8399
26165,"Wexford County, Michigan",2416,110,1280,299,707,225,49,1136,288,333,454,61
